,Ground_truth,Prediction,trial,trial2
231,"pressed as when he left Mrs. Halliday's office ,",pressed as when he left Mrs . Ialliday's office .,,"
    Pressed as when he left Mrs. Malliday's office."
232,exactly a month ago . If even Mo statesmen only,exactly a month ago . If even no statesmen only,,"
Exactly a month ago, if even no statesmen only."
233,did what they had to do to get GO on an expan-,did what they had to do to get 60 on an expan-,,"
Did what they had to do to get an A on an exam."
234,"ding scale , and left the sum-total of their actions ,","ding scale , and left the sum-tokal of their actions ,",,"
    Dinging scale, and leaving the sum total of their actions,"
235,"and their lunar and earthly repercussions , to luck","and their hnar and earthly repercussions , to luch",,"
and their harsh and earthly repercussions, to such"
236,"( or to Moke ) , there was a vacuum where there should","Lor to Robe ) , there was a vecunm where there should",,"
    For Robe, there was a vacuum where there should."
237,"be a centre of trust , responsible for the maintenance","be a centre of trust , responsible for the maintenance",,"
Be a center of trust, responsible for the maintenance."
238,The political life of Aristotle looked more and more,The political lile of Arintotle looked more and more,,"
The political life of Aristotle looked more and more."
239,like a masquerade of business interests in dis-,lilre a mosquerade of busines interest in dis-,,"
Like a masquerade of business interests in disguise."
240,"guise which , far from attracting the allegiance","quise which , far from attracting the allegiance",,"
    Quise, which, far from attracting the allegiance"
241,"of free men everywhere , could only repel them .","of bree men everywhere , could only repel them -",,"
Of brave men everywhere, could only repel them."
242,Then what of the cultural life ? Did this per-,Pren what of the aulturol life ? . Did this per-,,"
What of the autocratic life? Did this per-"
243,haps nurture a genuinely civilizing impulse,Rhaps nurture a agninely civiliging impube,,"
Perhaps nurture a kindly civilizing impulse."
244,which might in time become social fact,which migfut in time become social fact,," which might, in time, become social fact"
245,and counteract the obsession with economics,and counteract the obsension with economics,,"
and counteract the obsolescence with economics"
246,which had grown up during the Moon's,which had grorwn up during the Noun's,,"
which had grown up during the Noon's"
247,At the centre of each circle stood personnel,At the centre of each cirle stood persomnel,,"
At the center of each circle stood personnel."
248,"managers of corporations , together with professors","managers of corporations , together with probsors",,"
Managers of corporations, together with professors."
249,and their filing clerks . The students had,and their filing clertes . The studets had,,"
and their filing clerks. The students had"
250,bought their college education forward and,bought their college education . Forward and,,"
Bought their college education forward and"
251,were now being bought forward in their,were now being bought forward in the s,,"
We're now being brought forward in the s"
252,turn . By comparing personal appearances,thre . By comparing personal appearancer,,"
Three. By comparing personal appearances"
253,"with university records , the agents of the","with uninersity records , the agents of the",,"
With university records, the agents of the"
254,businesses would pick on young men,businesses would pick an youny men,,businesses would pick a young man
255,"and women who interested them , and contracts","and woren who invrested them , ald contracts",,"
and worn who invested them, old contracts"
256,would be initialled at the end of,would be initialled at the end of,,"
would be initialed at the end of"
257,"Stepping out in their white shorts , they looked glad enough","Stepzing out in their white shorts , they Cookeal eyough",,"
Stepping out in their white shorts, they looked enough."
258,"to be diverted , however , with the single exception of one","to be olvertearl , howeres , with the Engle exeption of one",,"
To be overture, however, with the exception of one."
259,worried little man-student who kept getting out of,norrial ( the man-student who lept gotking out of,,"
Norial (the man-student who leapt, gotking out of"
260,step . He looked as if nothing Moke and his,slep . He Cohoal as if notding voke anaul h is,,"
Sleep. He cooed as if nothing woke him up."
261,minions could do to him would ever make him,minious conlol odo to k . m woalal ever makie him,,"
Minions could not do to him. He would never make him."
262,GO ; but the reason probably lay in elementary,( 20 ; but the reason probably lay in elomuntary,,"
    Twenty; but the reason probably lay in eleemntary."
263,neurosis and not in some eruption from those,hearos is and not in soma eruption from those,,"
Heard is and not in some eruption from those."
264,deeper layers in the human psyche which are,oleaper- layers in the human psyeter which are,,"
    Deep-layers in the human psyche which are"
265,"So once again the metaphysics were depressing ,","So once again the metaphysics were depressing ,",," So once again the metaphysics were depressing,"
266,and in absolute contrast to the physical display .,and in absolute controst to the physical display .,,"
and in absolute contrast to the physical display."
267,"Mos have an un-American love of parades , and","Mos have an un-American love of parades , and",,"
Most have an un-American love of parades, and"
268,"these young ones , on parade for jobs which they","these young ones , on parade for jobs which they",,"
These young ones, on parade for jobs which they've applied for."
269,"had to get to pay off their college bills , were naturally","had to get off their college bills , were naturally",,"
Had to get off their college bills, so they were naturally"
270,putting their best foot forward .,putting their best foot forward .,,"
Putting their best foot forward."
271," Something 's up , ' said Lord Undertone ,",""" Something's up "" "" said Lord Undertone ,",,"
""Something's up,"" said Lord Underwood."
272,carefully casual . ' The servants are all on,"crefully casual . "" The servants are all on",,"
""The servants are all on carefully casual."
